seed,biting_rate,ectopic_recombination_rate,immigration_rate_fraction,immunity_loss_rate,mutation_rate,n_genes_initial,switching_rate,transmissibility,instance
10407_1133122409_1844558369_-124567271_-1135375656_576304936_536247275,9.88169906496222e-05,7.25361059742841e-07,0.00288964888425532,0.00199293232326567,2.14886652346651e-08,15880.7236968314,0.19985714705778,0.317375842833548,25
10407_1560567441_132937753_-300518061_-1334319929_-731039938_-1231879108,6.78481463428737e-05,1.59163083291293e-06,0.00505974415031524,0.000990664066704747,2.27649389814803e-08,29222.5695751289,0.199704397115087,0.303517119999823,26
10407_-1530106323_868440474_-438713410_1650753584_1720847277_-1113570127,9.24994468782179e-05,1.7373999109148e-06,0.00280223724442902,0.000914071297553969,1.97029502132878e-08,26894.3659928802,0.199692711397233,0.574753850807488,27
10407_99426448_339450913_642271464_551380489_115256065_1266559315,6.86750063017581e-05,1.50875478961087e-06,0.00222116575748145,0.000968020454565574,2.54080435301566e-08,25500.3331488946,0.195489790934976,0.548342180654927,28
10407_-943534509_-30479781_695143773_-406613083_1869168313_1055773801,7.69270390371761e-05,9.51456116423447e-07,0.00162399365999138,0.000893302908926156,2.12852012943911e-08,30216.7427177122,0.197885920476027,0.53720984773573,29
10407_-92201302_1385169351_506409578_159183478_-638851914_-1340397418,6.23084799407548e-05,3.12141578068443e-07,0.00318607194225536,0.000673598709922379,2.69845751595342e-08,23306.9146281503,0.181067441469046,0.468741109123393,30
10407_1895364379_-472539929_-223215426_1470558859_-467764971_-578284961,6.44175055708556e-05,8.21018243714339e-07,0.00516954345553387,0.000572701100131908,8.69565193304957e-09,29110.9896898666,0.190647497357092,0.998454159499333,31
10407_-2063713955_1960778887_-897464746_-622403641_533532765_67318466,9.55510655691607e-05,9.07282866540559e-07,0.00199855681366227,0.00145876469452484,1.43379166312339e-08,11582.7457557422,0.199326694636145,0.540053467933326,32
10407_-2082512043_440021050_-216168407_-1283521009_-22715947_1863901978,8.03652721198352e-05,1.20632482974745e-06,0.00331812516144595,0.000613820032368182,2.76058935131751e-08,10277.0516912071,0.178988239187095,0.930442155291854,33
10407_-605833200_-1237871803_348543656_-1111974302_-902782800_-1824702048,6.03720667580818e-05,1.39930839377335e-06,0.00407779443288345,0.00172482561819926,1.23043789656463e-08,13474.7689428576,0.189096623972464,0.668806029523439,34
10407_-335611997_1333390894_1337559623_-1948454736_1897855635_-1567532416,5.61094397899144e-05,6.95236559195087e-07,0.00262288456055173,0.000890216292467562,1.05451411989736e-08,24481.0763241756,0.194475486563233,0.523068481879057,35
10407_556703997_1518038565_22344912_-818846925_1153893213_618331752,7.71198168631519e-05,8.57908425805643e-07,0.00461597211134128,0.00124908551312431,7.53449266747645e-09,30672.1503048606,0.184212394650129,0.193836454692901,36
10407_-64221906_-1954840578_-668875972_304829970_1930832291_-511461046,8.94467817490439e-05,1.68863104380775e-06,0.00264208522453925,0.0011171768583271,1.68975498868434e-08,31296.8265814501,0.199489713233586,0.71341933203639,37
10407_392184904_-1727750200_818432747_-144799102_-515248010_-840867769,9.24069565990423e-05,1.25840600775718e-06,0.00146540281210378,0.000680900684750515,2.44806482510364e-08,12574.9505127029,0.194981997848131,0.814087765042645,38
10407_-1569525999_206711133_-1112560698_1227871939_-1786500977_2098510744,8.7135875315027e-05,1.50329751289308e-06,0.00204091743765481,0.00169738450727589,2.82653540577303e-08,15810.2748561526,0.178421277223957,0.875136209262566,39
10407_2015264831_2133065881_749381784_-359298136_1492080896_-369062229,7.17789618781795e-05,3.05419748028848e-07,0.00157756070661538,0.00090406396716264,1.13117904240461e-08,14890.1312009105,0.185858338359038,0.443358913337245,40
10407_1824866195_1705290938_215366897_308659024_465779967_-52189293,9.22846272952424e-05,1.71698552924273e-06,0.00229485593972662,0.00194886779186559,1.97455194603366e-08,30489.3737429518,0.186769326275795,0.336731417851094,41
10407_453899132_209725779_-816722316_1098669231_-249293502_-1565139235,7.6205042882668e-05,5.46421400855454e-07,0.00339333205736627,0.000603383565717064,1.16231904164204e-08,17422.4506880392,0.172670164110401,0.643762859242773,42
10407_360849122_1729287057_174997004_218535912_-407238882_-223690477,8.71872648427979e-05,9.68723613463444e-07,0.00261280966403918,0.00110492887877723,1.02528811776581e-08,14336.0103515631,0.198294996974803,0.509935645796999,43
10407_89718734_162371465_-911950240_1532464329_422411160_622997059,7.77543071409634e-05,1.05355450293632e-06,0.00362996996040125,0.00163874876772785,1.78463673169315e-08,19836.9845236737,0.194086053362955,0.305459588812023,44
10407_-913277693_-1331213174_-739605230_1673035730_366245993_1694927644,9.47375352413061e-05,1.10140160706309e-06,0.00200113655101058,0.000539844523738714,1.39894995295128e-08,14767.3866122221,0.19699546856475,0.853630911397149,45
10407_834417321_167126142_834228659_-844301865_-1194543795_-80416233,5.63638325175625e-05,1.55811795194393e-06,0.00281437368103479,0.00139312945063477,2.01253570498473e-08,30689.0631149269,0.171675427329425,0.233755427644307,46
10407_-438476304_1740591163_-2102387456_770739430_-1635964857_591285716,6.21905539191948e-05,1.20772082861143e-06,0.00407713027376161,0.00178760693974767,2.23807151508e-08,24982.7192483177,0.173543367286217,0.141966034964736,47
10407_-61070928_-1444298600_2057529299_-1071345262_-1812128395_748199601,5.91165731960275e-05,1.77027740087081e-06,0.00288658874351138,0.000914893435192518,1.81883232153407e-08,21313.0317359809,0.175717318005164,0.519342452328147,48
10407_941005137_157948387_-457458781_610730563_1925199550_189920677,6.79602371780387e-05,6.47681055715244e-07,0.00408285476977381,0.00153856097929001,7.59154786570959e-09,30783.83694319,0.185150729705152,0.352508797729517,49
10407_-644459967_-1839123534_913448381_-1093716014_1247721073_-1752109592,7.36204646629297e-05,1.04416929225224e-06,0.00310599720967418,0.0019270061520201,2.18868543982497e-08,30332.6422807263,0.190807718012908,0.328701853614163,50
10407_-146791002_1442564887_1205406987_-1904366636_-1939794323_-1087468133,8.67458639543422e-05,1.2845565224419e-06,0.00335123886556936,0.00173536092794605,2.04178049589504e-08,25867.8481491901,0.185664803267241,0.952257074922215,51
10407_-809981667_1086003066_1931575748_341974568_-1766848760_1566190106,5.65525186014839e-05,1.0187859587039e-06,0.00272811004871213,0.00167947699502124,2.11151992751948e-08,33546.3931049271,0.178547106588522,0.939969844412219,52
10407_701323467_-917461990_-1715293537_-628750341_-1796992898_-914584762,5.41105410836984e-05,1.77587867415239e-06,0.00319763458306115,0.00137534061279245,2.36941146356124e-08,30928.7860510798,0.194766287249252,0.510372997368164,53
10407_2083452518_1715992066_-1769134372_1134371752_-440751087_-1432440075,9.71491157321806e-05,4.35160834314684e-07,0.00238268214701443,0.000674380463698576,2.32833370792754e-08,29654.0805161768,0.198483198092357,0.693831786011209,54
10407_369463545_-83723121_2038643439_734554873_494926112_-78760588,8.66373114690021e-05,1.19076075338756e-06,0.00273387905043409,0.000603201476917639,9.95713257197842e-09,14247.3816329473,0.182792524868719,0.766235057531258,55
10407_1840784379_-2043697665_1054975795_807316540_2036771670_-2036415070,9.99607113475744e-05,1.10249965027918e-06,0.0043793459763819,0.00131119418362195,2.35714342236511e-08,34499.5937615909,0.188173690022141,0.288808655685527,56
10407_1217186118_208210967_-1624417664_508634175_-657337153_2079696819,7.23675860666165e-05,1.1527126083747e-06,0.00367605337750834,0.00147858355200854,9.81004743849542e-09,11522.4681491516,0.178212719254462,0.920795928678144,57
10407_1502729053_-1581340723_-1245762360_1636630337_2111276387_-464931738,6.70224930942183e-05,7.16523379215368e-07,0.00425053700810505,0.000861118019205558,2.28466422579178e-08,10675.8798937215,0.193846965682104,0.158962812269905,58
10407_94331645_-489285155_1450773334_-1743905775_1569294458_-1337599408,8.29761273879405e-05,9.52996812271547e-07,0.00262256320469686,0.00101660609071374,1.32425541415908e-08,34801.5393033198,0.171718405887053,0.871353410465852,59
10407_256720098_1996353606_248367809_1473953116_-482909557_-283427964,5.41383373862582e-05,1.71851397148883e-06,0.00177991593422013,0.00136802345905498,1.25316173266823e-08,12080.6761330589,0.173962125670971,0.753234379156237,60
10407_1102498714_323597790_-1814777195_125338668_2031620711_-1392390393,5.17810973614948e-05,2.98759201882524e-07,0.00209014231297,0.00178093562373158,1.6287483760905e-08,14507.2385026221,0.189783074435361,0.230746818442835,61
10407_403246449_-1883175012_1937947196_3006769_-597456787_196606931,8.85175675697823e-05,3.74937675457577e-07,0.00451368410439703,0.00185690080510924,9.49717525886257e-09,15031.8649430708,0.188673223903959,0.749501033172373,62
10407_-1533609282_1732517548_680924404_-1450891982_-590586523_-1411605099,5.60105121419952e-05,8.42104644317837e-07,0.00367227048676103,0.00120150477425867,2.25362527320548e-08,11398.6374155249,0.188559107384641,0.669310736274226,63
10407_-106603240_-52640070_-1824532137_398173986_139170601_-174009127,5.77928012674753e-05,6.82132816776266e-07,0.00358710399662493,0.00142146551418979,1.77787880721836e-08,30582.6144339792,0.176585843275812,0.651477030591579,64
10407_-1552337815_-838808695_1972018349_1702280326_1561370672_-1464048830,7.93020819756425e-05,1.25818809918667e-06,0.0019647135965124,0.0018019598426296,2.2284841446348e-08,28134.9571578261,0.182781658649872,0.544062396150502,65
10407_6326877_434493601_1227207249_1380563749_-1306533906_2048579667,5.42197569460936e-05,1.16601860746841e-06,0.00284195803418259,0.00132629631849464,2.00525082858732e-08,24577.577459595,0.187787772605486,0.73284662804139,66
10407_1802659654_1377919724_321911220_1246190266_-1649249021_-1088481506,9.98800339574992e-05,9.28901977341003e-07,0.00515645207790357,0.00185821431779651,1.58777359263902e-08,23255.7841574235,0.177410378581312,0.143606353230363,67
10407_-903824659_-1329048930_-2134926191_314411764_584590307_868357831,9.39344934786873e-05,6.07010208406625e-07,0.00243420150021107,0.000783811951809536,8.78406351366967e-09,10415.540532314,0.194285995273362,0.385061561279824,68
10407_-1843238328_619334456_147545672_-79942686_1665423742_-1819288327,9.86711192108194e-05,1.60875778157759e-06,0.00356374743940788,0.00160243638823234,1.81063022043734e-08,15469.7006427343,0.170227972690235,0.873358045487216,69
10407_982697153_1991674236_1286288529_-47003280_876570010_407557974,6.51737963851628e-05,9.32285966288655e-07,0.00300727368223008,0.00144002388252285,2.23679037388098e-08,20355.2247236459,0.198950982279898,0.97968363599847,70
10407_-2022156013_2097886449_-1811108257_-622318791_1553541836_-347376941,7.74419441598423e-05,1.00728921662083e-06,0.00448394378386738,0.00102953655775859,2.46333942331568e-08,34387.3400512481,0.199820681895336,0.306578881381381,71
10407_797054395_-1758541610_2053843327_1773609597_-765638624_-292622438,9.39922932671303e-05,4.68759194532236e-07,0.00404644120613933,0.00133752475871606,1.39654087181665e-08,21982.4962338534,0.18258424359631,0.108087890373888,72
10407_2043444439_1945868501_-17893271_971730609_-2029562352_756996696,6.61029677542636e-05,7.53487755967284e-07,0.00365825874184186,0.00158162927644463,2.09192371362535e-08,18368.9237327443,0.190952334847918,0.166352225650751,73
10407_-670118820_1312530414_153387820_-541951815_1163184454_164993766,9.58983788907296e-05,9.57889598020591e-07,0.0050701559241915,0.00185369507832454,2.27033281591595e-08,26992.0479730788,0.193160878227765,0.616370752758543,74
10407_-46145696_-1146118388_-2107765086_910187728_-1230169533_-127888466,6.65220308847452e-05,8.76298503761129e-07,0.00200316913109954,0.001325481347042,9.15127923849482e-09,17714.1197574491,0.171509510612305,0.211401212033481,75
10407_-806000369_-824844144_1481250331_-318007957_1950279870_-827803253,9.13801270192978e-05,1.19103192151802e-06,0.00313521439341141,0.000520090007674757,1.2970346929514e-08,31519.7496584446,0.199928698078153,0.515775136820632,76
10407_-1432206974_655807365_-1140500633_1026158521_288229347_1945137393,9.5724586813612e-05,1.15501744692297e-06,0.0029693966928882,0.00164406264025439,2.69867461633047e-08,25312.9386530186,0.178220543202879,0.126504221113318,77
10407_-580514198_528533865_1224669474_-1914209975_2038815170_728674695,7.28824129930679e-05,1.25567505693995e-06,0.00483672649340335,0.00166990387800629,1.10525421754569e-08,16159.1257197982,0.186437836500525,0.940790653995091,78
10407_-1323456060_1337463816_370400807_-1266542388_-1029533764_-701152306,6.63229608211698e-05,1.33814497051409e-06,0.00381205953543864,0.00101749076908149,1.22158364586589e-08,18939.0694950762,0.191537547469116,0.410723586004456,79
10407_-385280618_129925920_1724693261_1921588355_88984602_-65196263,6.52733405080111e-05,2.67976673384358e-07,0.00174064997679493,0.00119300953890448,2.06681988425389e-08,28265.1748151228,0.176373648702731,0.834216092455087,80
10407_-589688844_-2135561902_2089209449_-395182252_-16851140_1043235886,8.12159912096776e-05,2.45304855911896e-07,0.00349976453775313,0.00141017236621797,7.71393888557094e-09,28350.3348324588,0.179986512750914,0.26975292298342,81
10407_1582239067_-463636449_1349236900_2101945369_-993509676_43262638,8.05507933690015e-05,7.72473592735933e-07,0.00429699446426021,0.00199845196544899,1.38963515026746e-08,27041.0405395412,0.171368692060327,0.233178010703769,82
10407_647769099_-1939255813_-1644689689_-13108040_-1286921772_-236935079,6.1209803578223e-05,9.66985129018051e-07,0.00336348682022318,0.000680169414835033,2.10348456076091e-08,19022.9197244768,0.186479898720105,0.556003244645719,83
10407_-1438615475_1055128366_213320788_-1608581675_-638255950_1355013418,6.76110846345122e-05,1.68208561840697e-06,0.00256312877863496,0.00130919541118124,1.6792115930803e-08,18584.6492165032,0.181688973692941,0.832235695377539,84
10407_-224459708_1371375344_-896589703_-526905927_-852836875_-1797258497,6.9128509875084e-05,5.42098316934523e-07,0.00475624446839957,0.0007301035178557,2.43690194398113e-08,26527.5566473554,0.193742429619027,0.707938643780793,85
10407_477250779_1461967299_-249640630_1352935531_1291648782_-531357607,5.7456172786693e-05,1.21451036462042e-06,0.00419636004695756,0.00164364235176255,9.55328988660027e-09,11167.2441737921,0.181888975696857,0.882251025126584,86
10407_1689380128_1727973412_825126087_-837248481_1089353828_-1404831359,5.44827586753486e-05,1.07945221908724e-06,0.00366791194953152,0.00063992723549665,8.19227736924016e-09,22212.1450207359,0.182129281108088,0.515609504814714,87
10407_-1659738779_374795821_92389637_-149912720_-2142773218_2070166747,8.84787173708853e-05,1.43378760885882e-06,0.00292195397896342,0.0018754280566452,2.28457383022784e-08,19882.4735925711,0.177585998434646,0.137648890506388,88
10407_1771562195_455690159_1345431674_-859768573_59303810_2046628491,7.039924608805e-05,1.71394037343587e-06,0.00309777652818849,0.000793150506940349,1.26683175952928e-08,15263.0390859077,0.187687694378131,0.670314059247036,89
10407_1670680765_1865584074_160041871_-973774800_-1028351958_747096889,9.44611704109611e-05,1.75394861270992e-06,0.00271792896773524,0.00108610834305753,2.67529687530482e-08,19473.0475029516,0.189617299529151,0.585035324154817,90
10407_247585014_967992265_2017817819_400873977_-1271724461_-938794428,6.72487490765334e-05,1.57807036284128e-06,0.00371141460310935,0.00117703815047607,2.35100447285485e-08,33735.9821494741,0.172534321269941,0.370751563323505,91
10407_-849664998_-1683619665_1808459973_-739818319_823107867_-1545376777,7.61293232851253e-05,9.1862907860862e-07,0.00211701389465394,0.000850836215074246,1.05696718703057e-08,32890.161140432,0.173436187592868,0.378403365230665,92
10407_1766476077_366940310_-1881799391_-1988567761_-1885046829_-77873437,7.13405650444285e-05,1.55276170416884e-06,0.00342699572064468,0.00173458639862025,2.61047623388841e-08,29455.9261485363,0.175134160881951,0.916537059663602,93
10407_-1968419923_191112383_1743439808_-181434633_-1152176107_-844566771,8.22678876078808e-05,1.53073655973579e-06,0.00472992934071775,0.00180499722636865,1.6689435024267e-08,29940.3890257063,0.191080830177701,0.414170465695344,94
10407_1324703164_1359359740_-491216357_-1113466371_953500239_1710919118,9.70757245917981e-05,2.61180482979607e-07,0.00479890625393321,0.00107359945591883,2.70497905043515e-08,34326.1750736566,0.198173001035924,0.26851952893752,95
10407_1036175607_872550198_754187344_-1854268039_1821294922_-1753422904,5.45781783732146e-05,1.23395841117225e-06,0.00160981158368076,0.000543871804116809,2.3625359000203e-08,27715.7452400723,0.192659653177372,0.601647152079932,96
10407_1442060213_-240642021_1337280567_-2012464625_1243369048_579610863,5.40574904550861e-05,7.88023753487069e-07,0.0040584017570313,0.000532057339352291,2.12288109158574e-08,30084.4424579034,0.182359771892698,0.548655891427072,97
10407_-1347720432_2145598597_939770475_2143736534_779461637_-1476340034,9.85396869451066e-05,3.83916650689303e-07,0.00386188365049203,0.00116968664655344,2.19179659441729e-08,13586.1941193035,0.196215497631555,0.730597356819513,98
10407_898084282_1563090155_-1557591563_-1955455425_-956999728_692548324,7.58722359540363e-05,7.523672681051e-07,0.0022033798924797,0.0018661686697829,1.83319846564465e-08,29161.9874061958,0.172130089488521,0.118222990471097,99
10407_-2035652945_1865555574_1844199407_-398214616_1093672166_1582784654,9.06847262531311e-05,6.02545678706515e-07,0.00298702824420818,0.000504318570997744,1.60887803394517e-08,21470.9040358462,0.178858648175914,0.880375560262125,100
10407_1927953983_1759041582_270054667_-1327576108_-149192265_-416289811,8.81522470793829e-05,1.32945014931399e-06,0.00202892893609119,0.00162484205819409,2.75582745801128e-08,22433.0174336484,0.197724548461962,0.859881592290382,101
10407_-784088798_1046929662_-1339948808_-1457865310_1012190833_-1387193811,9.64564286169159e-05,2.12614300178815e-07,0.00348946181521879,0.000529191774038281,2.33789982214334e-08,13251.3773969409,0.182381402394791,0.688825832144386,102
10407_126775703_-59884286_-1612643155_-78662830_132877833_-1238335191,5.30790064979291e-05,1.3208987233295e-06,0.00345827303487436,0.00105463582837321,2.38304055830523e-08,25095.5641846658,0.193602848404836,0.222121181645837,103
10407_-681423320_1102807570_-1927142180_1824555280_-2123949189_576094072,7.30741788602459e-05,4.68803477637814e-07,0.00426126945304303,0.000801920293291619,1.42742379484319e-08,27729.578665659,0.195826677919555,0.511063223674678,104
10407_66268955_825101842_409909604_-671022741_1392944958_-1221772657,5.44211400360867e-05,4.2044134788446e-07,0.00461391090526882,0.00143482630112577,2.2987871353358e-08,24045.0830269377,0.185635887053601,0.928262113401409,105
10407_-2112904526_-308366350_191900996_240677028_791071028_-33888569,6.94213619876143e-05,6.7461087006055e-07,0.00272096187969875,0.001709118962327,2.3922961925625e-08,28058.2928216521,0.189670029131524,0.384684762464433,106
10407_163013146_-1836857460_-206930452_410705333_-1523956418_-729531501,8.19464256863241e-05,3.98767424741701e-07,0.00401688111811471,0.0017165774768494,1.01602746434397e-08,18604.2137666092,0.178724508250188,0.579291265980162,107
10407_-1765120528_-1417741338_148026940_826841909_930327022_2145664951,7.00615181084829e-05,1.83910515211146e-07,0.00150195493606768,0.00105536432521758,2.65732050700253e-08,27160.7758559776,0.182705170103157,0.189084013456979,108
10407_-1537349672_734164479_-2039078912_-1065665177_637368084_860428365,9.24297163092021e-05,6.07914511863315e-07,0.00200795888186917,0.000964134538752518,2.44685714707565e-08,19602.5791488869,0.183612994351988,0.211364513180462,109
10407_-889945667_1465126330_-490576374_800870337_-756777473_-1769965128,7.06472577765187e-05,1.54408448555602e-06,0.00206460487698264,0.00145157978537595,1.73967560359297e-08,17604.6962024546,0.171129472707074,0.593475592388119,110
10407_427266424_-1274180958_-1925894190_1408756951_442347383_1284772983,8.15230794282064e-05,1.04718223898624e-06,0.00258899465486615,0.000829979117944684,1.34176402765152e-08,32670.7171888483,0.170019149889391,0.542527919820928,111
10407_506026333_1778284222_1462803354_-768116300_-1223435125_2147022061,8.1574487419911e-05,7.64136840568436e-07,0.00286261576772242,0.000959195367975061,2.52487431781018e-08,14449.3264005353,0.170258538338302,0.141589988505475,112
10407_1230438071_-396591656_-24912554_1418866857_920274480_-1531771016,9.16302874374174e-05,4.47659604934969e-07,0.00268566509258386,0.00103683355578393,1.67302915016371e-08,26919.4149560966,0.195680878884696,0.346829624837098,113
10407_1191371174_-1475621770_29137876_1542115520_2082090189_657246269,8.83438090824754e-05,1.57065066895894e-06,0.00144015291178122,0.00150188165653365,7.71164211706467e-09,14004.5620107759,0.18339605474955,0.79626491015956,114
10407_2100501162_1442419759_-465508206_558913980_-1409671804_-1350712045,8.41885105297182e-05,1.41716152813393e-06,0.00136991944578493,0.000983145647473644,1.52973058752995e-08,21011.9126835983,0.194008347573978,0.280871298790491,115
10407_1653137709_1635875579_784817893_1884306648_-645852186_-2044278580,7.06038034414998e-05,1.233298069249e-06,0.00250353754397759,0.00187974294615984,1.74820717270447e-08,27255.4845998581,0.192608983368263,0.528639971885068,116
10407_-1852450407_-997435009_-139206875_670532058_407986022_-1205457044,9.20129399248757e-05,2.30285528024472e-07,0.00322911444446053,0.0017540448741035,1.69594241708992e-08,31579.0602582116,0.178047466383584,0.519222472132233,117
10407_-329521506_-1169035620_-709707398_95744707_327930145_972495242,5.61020960869744e-05,1.33042264524433e-06,0.00374637237731301,0.00186361470732638,1.35928450707045e-08,21492.2028130888,0.18869063918054,0.289950710474944,118
10407_1836913740_829141340_1605212120_-1596313090_1272120137_-1602885841,7.62943936327959e-05,6.40870066306424e-07,0.00488806028552567,0.000984327602572932,1.84415105728945e-08,26288.9878584531,0.173266454880252,0.921276018282559,119
10407_1804997555_-402610615_-1400087434_54376857_-252385822_-843480179,5.79430838378944e-05,3.48462989280065e-07,0.00309736303312227,0.00165786422911931,8.5027460872305e-09,26722.9932316735,0.17790127480735,0.790356959858987,120
10407_348395890_1331808403_832292574_-168904211_-2100652792_1781172116,6.01300558809326e-05,1.05152084637957e-06,0.00480458124699593,0.0010571448197456,2.82708282616864e-08,33328.4817242702,0.199422843511438,0.540754559601363,121
10407_-445765984_1052009823_-630162222_-274268908_2070571336_-1353459025,8.11396519544966e-05,9.4658270613386e-07,0.00402193860272492,0.00194543347041832,1.59066537433423e-08,13519.078870039,0.183462262613846,0.546694734144541,122
10407_2137357637_535794108_-771016290_-338102590_-2044751867_-1476033642,7.52560872866184e-05,1.31964913164988e-06,0.0015994664917265,0.00102312434781447,2.8168765879195e-08,27844.9422464934,0.180237926035424,0.166061071158594,123
10407_1712308102_935991240_1067369007_-242327621_-333079439_215968645,7.5238346111197e-05,1.53574738308705e-06,0.00322773472931832,0.00186399138320174,1.06579500537961e-08,22573.9560611339,0.194228928709483,0.497046670362093,124
10407_835578604_99599509_1723880430_671051205_732891805_345109139,5.52954099598199e-05,1.4275046165295e-06,0.00242131744244009,0.00120175392053442,2.30571556161153e-08,28702.565251797,0.177126827675451,0.901550737585023,125
10407_1457907237_637617769_-1251671391_896652667_-1734699185_-113986947,9.14801150041766e-05,1.39057793901151e-06,0.00272357162464917,0.00106157828278436,8.74921642075631e-09,28182.9933767375,0.178620021122326,0.430235704660681,126
